监测时间,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018/12/15,9,15.1,12.7,34.7,14,2.2,6.6
2018/12/16,9,15.1,12.7,34.7,14,2.2,6.6
2018/12/17,9,15.1,12.8,34.7,14.1,1,6.9
2018/12/18,9,16.0,12.8,34.7,14.6,0.9,6.5
2018/12/19,9,16.6,12.8,34.7,14.1,1,6.5
2018/12/20,9,17.4,12.7,34.7,14.7,1.1,6.2
2018/12/21,9,16.5,12.7,34.7,14.1,1,5.9
2018/12/22,9,16.5,12.7,34.7,14.7,0.8,5.4
2018/12/23,9,16.5,12.7,34.7,14.7,1,5.5
2018/12/24,9,16.5,12.7,34.7,14.7,1,5.7
2018/12/25,9,16.5,12.7,33.8,14.7,1,5.9
2018/12/26,9,16.5,12.7,33.3,14.7,1,5.9
2018/12/27,9,16.5,12.7,31.8,14.7,1.8,5.9
2018/12/28,9.9,16.5,12.5,32.2,14.2,2.1,6.4
2018/12/29,9.9,16.8,12,31.6,14.2,1.9,6.4
2018/12/30,9.9,16.8,12,31.6,14.2,1.9,6.4
2018/12/31,9.9,16.8,12,31.6,14.2,1.9,6.4
2019/1/1,9.9,16.8,13.2,31.2,14.7,1.2,6.2
2019/1/2,9.8,17.0,13.4,31.3,14.4,1.4,6.2
2019/1/3,9.9,17.6,13.3,31.3,14.3,1.4,6.2
2019/1/4,9.7,17.5,13.5,31,14.7,1.4,6.3
2019/1/5,9.7,17.5,13.5,30.8,14.8,1.4,6.1
2019/1/6,9.3,17.5,13.5,30.8,15.1,1.4,5.7
2019/1/7,9.1,17.2,13.3,30.8,14.9,1.6,5.4
2019/1/8,9.3,17.3,13.3,30.3,14.7,1.9,5.5
2019/1/9,9.7,17.1,13.6,29.7,14.6,2.2,5.6
2019/1/10,9.8,16.9,14,29.4,14.6,2.1,6
2019/1/11,9.8,16.9,14.2,29.3,15,1.9,6.1
2019/1/12,9.2,17.2,14.4,29.5,15.6,1.5,6.6
2019/1/13,8.9,17.3,14.3,29.6,15.7,1.5,6.6
2019/1/14,8.8,17.3,14.1,29.3,15.6,1.8,6.1
2019/1/15,9.2,16.9,13.9,28.9,15.5,1.8,6.2
2019/1/16,9.4,16.1,14.3,29,15.6,1.7,6.2
2019/1/17,9.3,15.6,14.4,28.9,15.8,2,6.2
2019/1/18,9.7,15.9,14.6,28.6,16,2.1,6
2019/1/19,9.5,16.6,14.6,28.7,16.7,1.6,6.1
2019/1/20,9.5,16.6,14.6,28.7,16.2,1.6,6.1
2019/1/21,9.6,16.6,14.6,28.4,16.4,1.9,6.2
2019/1/22,9.1,16.5,15.1,28.7,17.3,1.4,6.3
2019/1/23,9.3,16.1,14.4,27.8,16.8,1.7,6
2019/1/24,9.4,16.4,14.5,27.8,17.3,1.8,6.2
2019/1/25,9,16.9,15.1,28.2,18.3,1.2,6.6
2019/1/26,9.6,17.0,15.5,28,18.1,1.5,6.2
2019/1/27,9.7,17.1,15.5,28,18.2,1.5,6.4
2019/1/28,9.7,17.3,15.7,28,18.2,1.8,6.4
2019/1/29,9.6,16.9,15.3,27.8,18.1,2.3,6.3
2019/1/30,9.7,16.7,14.9,27.3,17.8,2.4,6
2019/1/31,9.7,16.7,14.4,27.2,17.8,2.2,6.1
2019/2/1,9.2,17.5,14.4,28.3,18.5,1.6,6.2
2019/2/2,8.7,17.9,14.8,29,18.8,0.8,6.5
2019/2/3,8.4,17.8,14.8,28.6,18.5,0.4,6.4
2019/2/4,9,17.4,14.7,28.4,18.2,0.9,5.8
2019/2/5,9.2,17.4,15.2,28.9,18.7,1.2,5.8
2019/2/6,9.3,17.3,15,28.8,18.6,1.6,5.7
2019/2/7,9.5,17.5,15,28.2,18.8,1.6,6.2
2019/2/8,9.4,17.3,14.6,28.2,18.9,1.3,6.5
